,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,0,0,0,0,0,0,0,14,15,15,15,15,15,15,14,11,11,5,15,15,15,15,15,15,15,15
1,0,0,0,0,0,0,0,7,7,6,10,10,6,9,6,2,2,0,9,7,6,3,11,9,9,8
2,0,0,0,0,0,0,0,0,9,6,4,5,8,8,1,1,1,1,2,2,2,1,7,5,6,5
3,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,1,0,0,0,0,0,0,14,15,15,15,15,15,15,14,6,5,1,15,14,13,11,15,15,15,14
5,9,12,4,14,9,9,11,14,2,0,7,5,2,4,15,15,15,15,9,10,10,11,4,4,4,4
6,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,7,9,2,10,6,6,8,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,12,12,9,14,14,14,15,15,13,11,15,15,12,15,15,15,15,15,15,15,15,15,15,15,15,15
9,14,15,1,15,13,14,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
11,2,2,14,0,8,12,8,12,14,15,14,15,15,15,11,11,12,11,13,13,13,14,15,15,15,15
12,8,12,11,11,11,12,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,0,2,4,4,3,5,3,5,12,9,11,12,13,12,6,9,9,11,11,12,11,12,12,12,12,12
16,5,9,6,7,7,8,8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,12,13,10,14,11,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,8,7,10,11,11,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,0,0,4,0,0,4,0,13,12,6,14,13,10,14,13,12,13,12,14,14,14,14,14,14,14,14
21,4,3,2,7,6,3,5,15,15,14,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
22,0,0,0,0,0,0,0,14,15,13,15,15,13,15,14,15,15,13,15,15,15,15,15,15,15,15
23,0,1,10,0,4,7,4,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,8,5,2,10,10,6,9,14,15,15,15,15,15,15,14,14,14,14,15,15,15,15,15,15,15,15
25,6,4,3,7,8,6,7,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,4,1,4,3,4,2,3,12,13,14,14,13,15,14,14,15,15,14,15,15,15,14,15,15,15,15
28,8,5,10,9,12,12,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
29,1,6,6,4,3,5,4,14,14,13,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14
30,11,15,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
