,Sucessfull,Missclassifications,Error
a2,303.0,162.0,34.83870967741935
a3,309.0,156.0,33.5483870967742
a4,266.0,199.0,42.795698924731184
r2,401.0,64.0,13.763440860215054
r3,409.0,56.0,12.043010752688172
r4,403.0,62.0,13.333333333333334
a23,344.0,121.0,26.021505376344084
a34,303.0,162.0,34.83870967741935
a234,338.0,127.0,27.311827956989248
r23,410.0,55.0,11.827956989247312
r34,406.0,59.0,12.688172043010754
r234,413.0,52.0,11.182795698924732
r2_a2,406.0,59.0,12.688172043010754
r3_a3,412.0,53.0,11.397849462365592
r4_a4,407.0,58.0,12.473118279569892
r23_a23,412.0,53.0,11.397849462365592
r34_a34,412.0,53.0,11.397849462365592
r24_a24,411.0,54.0,11.612903225806452
r234_a234,415.0,50.0,10.75268817204301
r2_a3,410.0,55.0,11.827956989247312
r2_a4,410.0,55.0,11.827956989247312
r3_a2,411.0,54.0,11.612903225806452
r4_a2,407.0,58.0,12.473118279569892
r23_a2,411.0,54.0,11.612903225806452
r23_a3,412.0,53.0,11.397849462365592
r23_a4,413.0,52.0,11.182795698924732
r234_a2,414.0,51.0,10.967741935483872
r234_a3,415.0,50.0,10.75268817204301
r234_a4,415.0,50.0,10.75268817204301
r234_a23,415.0,50.0,10.75268817204301
r2_a234,410.0,55.0,11.827956989247312
r3_a234,412.0,53.0,11.397849462365592
r4_a234,410.0,55.0,11.827956989247312
r23_a234,413.0,52.0,11.182795698924732
r34_a234,413.0,52.0,11.182795698924732
