,0,Missclassifications,Error
a2,323,97,23.095238095238095
a3,309,111,26.428571428571427
a4,284,136,32.38095238095238
a23,352,68,16.19047619047619
a24,341,79,18.80952380952381
a34,314,106,25.238095238095237
a234,359,61,14.523809523809524
r2,387,33,7.857142857142857
r3,388,32,7.619047619047619
r4,369,51,12.142857142857142
r23,393,27,6.428571428571428
r24,395,25,5.952380952380952
r34,388,32,7.619047619047619
r234,397,23,5.476190476190476
r2_a2,396,24,5.7142857142857135
r2_a23,398,22,5.238095238095238
r2_a24,398,22,5.238095238095238
r2_a234,398,22,5.238095238095238
r23_a2,398,22,5.238095238095238
r23_a23,401,19,4.523809523809524
r23_a24,400,20,4.761904761904762
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
