,0,Missclassifications,Error
a2,329,91,21.666666666666664
a3,315,105,25.0
a4,286,134,31.9047619047619
a23,362,58,13.809523809523808
a24,351,69,16.428571428571427
a34,334,86,20.476190476190474
a234,375,45,10.714285714285714
r2,388,32,7.619047619047619
r3,388,32,7.619047619047619
r4,368,52,12.38095238095238
r23,393,27,6.428571428571428
r24,395,25,5.952380952380952
r34,388,32,7.619047619047619
r234,397,23,5.476190476190476
r2_a2,396,24,5.7142857142857135
r2_a23,398,22,5.238095238095238
r2_a24,399,21,5.0
r2_a234,399,21,5.0
r23_a2,397,23,5.476190476190476
r23_a23,401,19,4.523809523809524
r23_a24,400,20,4.761904761904762
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
